Q,k,l,kappa
0.00038877777385072957,2.0999999999999996,30.0,0.0
0.001210404028177737,4.2,28.0,0.0
1.8959595768084893e-5,5.6000000000000005,30.0,0.0
0.00024758585608499134,4.2,34.0,0.0
0.00013802020062605858,6.300000000000001,32.0,0.0
0.00010060605958983778,2.8,32.0,0.0
0.006402616096943272,1.4,27.0,0.0
0.020280595754741455,2.8,26.0,0.0
0.010063737272083461,0.7,25.0,0.0
0.06460908015546384,1.4,25.0,0.0
0.0420186056361757,2.0999999999999996,25.0,0.0
0.0005035555504691358,2.8,25.0,0.0
0.03353947440869218,0.7,24.0,0.0
0.05554443378237946,1.4,24.0,0.0
0.0001688080791029487,4.9,29.0,0.0
0.0015539090752130396,4.2,33.0,0.0
0.002180585836559739,0.0,24.0,0.0
0.04450291874239476,0.7,23.0,0.0
0.009093818089961434,1.4,23.0,0.0
0.007929959515858995,0.0,23.0,0.0
6.6262625593306815e-6,2.0999999999999996,32.0,0.0
0.002883010071888787,2.0999999999999996,24.0,0.0
4.812121163513928e-5,0.7,28.0,0.0
0.00028888888597081934,0.7,27.0,0.0
6.092929231384553e-5,3.5,26.0,0.0
0.0001521414126046322,3.5,33.0,0.0
0.015596959438414552,0.7,22.0,0.0
0.01663747457941945,0.0,22.0,0.0
0.0002918888859405163,0.0,25.0,0.0
0.00016044444282379351,1.4,29.0,0.0
0.0003221414108874605,9.1,39.0,0.0
8.007070626191206e-5,7.700000000000001,40.0,0.0
6.050504989388838e-6,7.000000000000001,40.0,0.0
0.00020450504843934296,8.4,40.0,0.0
0.00033290908754637287,9.1,40.0,0.0
0.0001074141403291501,9.799999999999999,40.0,0.0
0.00014853535203499644,9.1,41.0,0.0
0.0001182121200180594,9.799999999999999,41.0,0.0
1.9242424048056322e-5,10.499999999999998,41.0,0.0
7.485858510243854e-5,9.1,42.0,0.0
1.0393939288950108e-5,8.4,42.0,0.0
0.0001538383822844608,9.799999999999999,42.0,0.0
6.536363570339761e-5,9.799999999999999,43.0,0.0
9.078787787082952e-5,10.499999999999998,43.0,0.0
4.126262584583206e-5,11.199999999999998,43.0,0.0
4.9787878284970924e-5,11.199999999999998,44.0,0.0
3.219191886674829e-5,10.499999999999998,44.0,0.0
9.9999998989899e-6,11.899999999999997,44.0,0.0
9.090908999081727e-6,9.799999999999999,44.0,0.0
1.737373719824508e-6,11.199999999999998,45.0,0.0
2.1707070487807368e-5,9.1,43.0,0.0
7.106060534282217e-5,10.499999999999998,42.0,0.0
4.424242379553107e-6,9.1,44.0,0.0
6.37777771335578e-5,8.4,41.0,0.0
5.0505049994898483e-8,7.700000000000001,42.0,0.0
2.2414141187735947e-5,9.1,38.0,0.0
8.680807993123151e-5,7.700000000000001,35.0,0.0
0.009832807981486788,0.0,21.0,0.0
0.0004504848439344965,0.7,21.0,0.0
4.476767631547802e-5,0.0,26.0,0.0
8.832323143107847e-5,1.4,22.0,0.0
6.959595889297011e-6,4.9,37.0,0.0
6.1414140793796555e-6,4.2,36.0,0.0
7.414141339251098e-6,0.7,29.0,0.0
0.0007098484776782982,0.0,20.0,0.0
7.424242349250077e-6,0.0,27.0,0.0
9.97979787899194e-6,2.8,33.0,0.0
4.956565606499337e-5,2.0999999999999996,31.0,0.0
2.0777777567901235e-5,3.5,34.0,0.0
1.4696969548515459e-5,1.4,30.0,0.0
6.569696903336394e-5,7.000000000000001,39.0,0.0
1.2575757448729722e-5,7.700000000000001,41.0,0.0
9.161616069074586e-6,9.799999999999999,39.0,0.0
9.292929199061321e-6,2.0999999999999996,23.0,0.0
5.323232269462301e-6,1.4,31.0,0.0
3.131313099683706e-7,0.0,28.0,0.0
6.060605999387819e-6,6.300000000000001,39.0,0.0
9.67676757902255e-6,11.899999999999997,45.0,0.0
1.060606049892868e-6,3.5,35.0,0.0
7.070706999285788e-7,4.2,37.0,0.0
1.696969679828589e-5,7.000000000000001,33.0,0.0
3.767676729619427e-6,11.199999999999998,42.0,0.0
5.65656559942863e-7,9.1,37.0,0.0
1.797979779818386e-6,0.7,31.0,0.0
8.98989889909193e-7,8.4,43.0,0.0
9.797979699010305e-7,1.4,32.0,0.0
2.0202019997959393e-8,6.300000000000001,31.0,0.0
5.959595899398022e-7,0.0,29.0,0.0
0.001936898970334354,1.4,26.0,0.2
0.008638686781427407,2.0999999999999996,26.0,0.2
0.00822137365432956,2.8,26.0,0.2
0.0025067676514467915,3.5,26.0,0.2
0.01848541395469279,2.8,27.0,0.2
0.007314353461471177,2.0999999999999996,27.0,0.2
0.010325656461357005,3.5,27.0,0.2
0.0021111413928167535,4.2,27.0,0.2
0.02578971691121498,3.5,28.0,0.2
0.009467898894263648,4.2,28.0,0.2
0.0015251312977259464,4.9,28.0,0.2
0.01680494932520253,2.8,28.0,0.2
0.03044173706624508,3.5,29.0,0.2
0.0426126056301757,4.2,30.0,0.2
0.028313787592790025,4.2,29.0,0.2
0.02433118157241231,4.9,30.0,0.2
0.004795969648525559,5.6000000000000005,30.0,0.2
0.0026316262360441796,6.300000000000001,31.0,0.2
0.018297767491941744,5.6000000000000005,31.0,0.2
0.04748407022743363,4.9,31.0,0.2
0.03027355524976207,4.2,31.0,0.2
0.006391131248574431,3.5,31.0,0.2
0.017975383656814305,3.5,30.0,0.2
0.008081605978973677,2.8,29.0,0.2
0.0031575656246710542,2.0999999999999996,28.0,0.2
0.007647201942957556,4.9,29.0,0.2
0.002719494922025304,2.8,30.0,0.2
0.03985563596105418,5.6000000000000005,32.0,0.2
0.00016753535184307726,7.000000000000001,31.0,0.2
0.03947401980329273,4.9,32.0,0.2
0.011794343315208653,4.2,32.0,0.2
0.010503848378749006,6.300000000000001,32.0,0.2
0.005554333277228957,7.000000000000001,33.0,0.2
0.000428343430016733,7.700000000000001,33.0,0.2
0.028615353246309563,6.300000000000001,33.0,0.2
0.043102312695936236,5.6000000000000005,33.0,0.2
0.018242272543007348,4.9,33.0,0.2
0.022911929061495667,5.6000000000000005,34.0,0.2
0.037928827899708806,6.300000000000001,34.0,0.2
0.01636649478417682,7.000000000000001,34.0,0.2
0.0023285555320347925,7.700000000000001,34.0,0.2
0.005133909039051423,4.9,34.0,0.2
0.0006738181750119376,4.2,34.0,0.2
0.026208777513042653,6.300000000000001,35.0,0.2
0.02953034313605714,7.000000000000001,35.0,0.2
0.008766111022564535,7.700000000000001,35.0,0.2
0.0009949292828795022,8.4,35.0,0.2
0.01042461605631701,6.300000000000001,36.0,0.2
0.026355757309537806,7.000000000000001,36.0,0.2
0.019827070506797266,7.700000000000001,36.0,0.2
0.022222484624015305,7.700000000000001,37.0,0.2
0.012196858462657995,7.000000000000001,37.0,0.2
0.011295424128329049,8.4,37.0,0.2
0.0032843333001582493,4.2,33.0,0.2
0.00782288880986981,5.6000000000000005,35.0,0.2
0.00013961616020589736,8.4,34.0,0.2
0.0003160707038780737,3.5,33.0,0.2
0.003882727233507806,8.4,36.0,0.2
0.01157944432748036,7.700000000000001,38.0,0.2
0.0033967171374068975,7.000000000000001,38.0,0.2
0.009880636263831956,8.4,39.0,0.2
0.00381981814323416,7.700000000000001,39.0,0.2
0.0005782121153715948,6.300000000000001,38.0,0.2
0.014859434193339049,8.4,38.0,0.2
0.004969100959908071,9.1,38.0,0.2
0.0006176565594176105,9.799999999999999,38.0,0.2
0.0020435757369335786,5.6000000000000005,36.0,0.2
0.002860767647871034,6.300000000000001,37.0,0.2
0.009248323138905827,9.1,39.0,0.2
0.0017413535177641058,9.1,37.0,0.2
0.00012914141283695542,9.799999999999999,37.0,0.2
