rho,l,gamma
5.0e-5,7.0,0.21703142857142863
5.0e-5,8.0,0.2142175
5.0e-5,9.0,0.1745999999999999
5.0e-5,10.0,0.162132
5.0e-5,11.0,0.15242727272727272
5.0e-5,12.0,0.1378733333333334
5.0e-5,13.0,0.15046769230769233
5.0e-5,14.0,0.4334414285714287
5.0e-5,15.0,0.8466933333333331
5.0e-5,16.0,1.2103175
5.0e-5,17.0,1.4101870588235295
5.0e-5,18.0,1.456668888888888
5.0e-5,19.0,1.5005199999999996
5.0e-5,20.0,1.5059130000000003
5.0e-5,21.0,1.482738095238095
5.0e-5,22.0,1.5038509090909087
5.0e-5,23.0,1.506473913043478
5.0e-5,24.0,1.5072058333333334
5.0e-5,25.0,1.5106183999999996
5.0e-5,26.0,1.4758738461538459
5.0e-5,27.0,1.497266666666666
5.0e-5,28.0,1.4833550000000004
5.0e-5,29.0,1.5032531034482768
5.0e-5,30.0,1.4876573333333332
0.0001,5.0,0.3038200000000001
0.0001,6.0,0.2456200000000001
0.0001,7.0,0.23392571428571438
0.0001,8.0,0.22222500000000003
0.0001,9.0,0.19230222222222212
0.0001,10.0,0.18299799999999994
0.0001,11.0,0.1634654545454545
0.0001,12.0,0.180645
0.0001,13.0,0.17035538461538458
0.0001,14.0,0.4320842857142859
0.0001,15.0,0.9460133333333332
0.0001,16.0,1.3280462499999997
0.0001,17.0,1.4716788235294118
0.0001,18.0,1.4887944444444445
0.0001,19.0,1.5070178947368418
0.0001,20.0,1.4875120000000004
0.0001,21.0,1.5126752380952384
0.0001,22.0,1.5128436363636366
0.0001,23.0,1.5256365217391303
0.0001,24.0,1.509529166666666
0.0001,25.0,1.4845168000000002
0.0001,26.0,1.4998461538461536
0.0001,27.0,1.491655555555556
0.0001,28.0,1.4910742857142856
0.0001,29.0,1.5168296551724134
0.0001,30.0,1.5405426666666668
0.0005,5.0,0.4152000000000001
0.0005,6.0,0.34833
0.0005,7.0,0.33357714285714296
0.0005,8.0,0.3068675
0.0005,9.0,0.2746777777777778
0.0005,10.0,0.30624600000000013
0.0005,11.0,0.3669836363636363
0.0005,12.0,0.4561050000000001
0.0005,13.0,0.8174784615384616
0.0005,14.0,1.267384285714286
0.0005,15.0,1.4411333333333334
0.0005,16.0,1.4617674999999999
0.0005,17.0,1.5131035294117645
0.0005,18.0,1.4694899999999997
0.0005,19.0,1.5133
0.0005,20.0,1.517261
0.0005,21.0,1.488725714285714
0.0005,22.0,1.489921818181818
0.0005,23.0,1.4854695652173922
0.0005,24.0,1.462268333333334
0.0005,25.0,1.519984
0.0005,26.0,1.5029453846153848
0.0005,27.0,1.5011888888888885
0.0005,28.0,1.5162157142857149
0.0005,29.0,1.4961489655172415
0.0005,30.0,1.488879333333333
0.001,5.0,0.5178119999999999
0.001,6.0,0.4630133333333333
0.001,7.0,0.42355714285714285
0.001,8.0,0.38499999999999984
0.001,9.0,0.4240511111111111
0.001,10.0,0.615652
0.001,11.0,0.7428272727272724
0.001,12.0,1.1492716666666662
0.001,13.0,1.3742553846153849
0.001,14.0,1.4930685714285712
0.001,15.0,1.4666960000000002
0.001,16.0,1.4981399999999994
0.001,17.0,1.5041176470588238
0.001,18.0,1.4937844444444437
0.001,19.0,1.4959652631578946
0.001,20.0,1.534169
