gamma,l,kappa
0.5472972972972973,148.0,0.0
0.5594405594405594,143.0,2.0
0.5547945205479452,146.0,4.0
0.5827814569536424,151.0,6.0
0.5405405405405406,148.0,8.0
0.564935064935065,154.0,10.0
0.5878378378378378,148.0,12.0
0.5806451612903226,155.0,14.0
0.5714285714285714,147.0,16.0
0.5724137931034483,145.0,18.0
0.6025641025641025,156.0,20.0
0.5454545454545454,143.0,0.0
0.5599999999999999,150.0,2.0
0.5761589403973509,151.0,4.0
0.5796178343949044,157.0,6.0
0.5723684210526316,152.0,8.0
0.5838926174496645,149.0,10.0
0.548611111111111,144.0,12.0
0.5704225352112676,142.0,14.0
0.6,150.0,16.0
0.5637583892617449,149.0,18.0
0.6012658227848101,158.0,20.0
0.5364238410596027,151.0,0.0
0.5379310344827586,145.0,2.0
0.5694444444444444,144.0,4.0
0.6,150.0,6.0
0.5578231292517006,147.0,8.0
0.5870967741935484,155.0,10.0
0.58,150.0,12.0
0.5804195804195804,143.0,14.0
0.5555555555555556,135.0,16.0
0.5796178343949044,157.0,18.0
0.625,144.0,20.0
0.5337837837837838,148.0,0.0
0.5405405405405406,148.0,2.0
0.5973154362416107,149.0,4.0
0.581081081081081,148.0,6.0
0.5933333333333334,150.0,8.0
0.6,150.0,10.0
0.5641025641025641,156.0,12.0
0.5821917808219178,146.0,14.0
0.6148648648648648,148.0,16.0
0.5562913907284768,151.0,18.0
0.5833333333333333,144.0,20.0
0.5374149659863946,147.0,0.0
0.5510204081632654,147.0,2.0
0.577922077922078,154.0,4.0
0.5789473684210527,152.0,6.0
0.56875,160.0,8.0
0.5704697986577181,149.0,10.0
0.5878378378378378,148.0,12.0
0.5733333333333334,150.0,14.0
0.5864197530864198,162.0,16.0
0.577922077922078,154.0,18.0
0.5958904109589042,146.0,20.0
0.547945205479452,146.0,0.0
0.5510204081632654,147.0,2.0
0.5743243243243243,148.0,4.0
0.5714285714285714,154.0,6.0
0.5743243243243243,148.0,8.0
0.5793103448275863,145.0,10.0
0.5816993464052287,153.0,12.0
0.5714285714285714,154.0,14.0
0.5547445255474452,137.0,16.0
0.6054421768707483,147.0,18.0
0.5686274509803921,153.0,20.0
0.5436241610738255,149.0,0.0
0.5547945205479452,146.0,2.0
0.5878378378378378,148.0,4.0
0.5866666666666667,150.0,6.0
0.5594405594405594,143.0,8.0
0.5629139072847682,151.0,10.0
0.5695364238410596,151.0,12.0
0.5894039735099338,151.0,14.0
0.6172839506172839,162.0,16.0
0.7132867132867132,143.0,18.0
0.5931034482758621,145.0,20.0
0.5472972972972973,148.0,0.0
0.55,140.0,2.0
0.5611510791366906,139.0,4.0
0.5789473684210527,152.0,6.0
0.5629139072847682,151.0,8.0
0.5732484076433121,157.0,10.0
0.5838926174496645,149.0,12.0
0.5815602836879432,141.0,14.0
0.5782312925170068,147.0,16.0
0.5734265734265734,143.0,18.0
0.581081081081081,148.0,20.0
0.5562913907284768,151.0,0.0
0.564625850340136,147.0,2.0
0.5510204081632654,147.0,4.0
0.5695364238410596,151.0,6.0
0.5743243243243243,148.0,8.0
0.5753424657534246,146.0,10.0
0.576388888888889,144.0,12.0
0.581081081081081,148.0,14.0
0.5753424657534246,146.0,16.0
0.5761589403973509,151.0,18.0
0.5761589403973509,151.0,20.0
0.5106382978723405,141.0,0.0
0.5540540540540541,148.0,2.0
0.5714285714285714,140.0,4.0
0.5684931506849316,146.0,6.0
0.5902777777777778,144.0,8.0
0.58,150.0,10.0
0.5704225352112676,142.0,12.0
0.5771812080536913,149.0,14.0
0.5704225352112676,142.0,16.0
0.5855263157894737,152.0,18.0
0.5878378378378378,148.0,20.0
0.5310344827586208,145.0,0.0
0.527027027027027,148.0,2.0
0.5616438356164384,146.0,4.0
0.5771812080536913,149.0,6.0
0.5563380281690141,142.0,8.0
0.6,150.0,10.0
0.6025641025641025,156.0,12.0
0.5827814569536424,151.0,14.0
0.5961538461538461,156.0,16.0
0.5886524822695035,141.0,18.0
0.5923566878980892,157.0,20.0
0.5410958904109588,146.0,0.0
0.5277777777777778,144.0,2.0
0.5761589403973509,151.0,4.0
0.5657894736842105,152.0,6.0
0.5608108108108107,148.0,8.0
0.564625850340136,147.0,10.0
0.5973154362416107,149.0,12.0
0.5925925925925926,135.0,14.0
0.5909090909090909,154.0,16.0
0.6,150.0,18.0
0.567741935483871,155.0,20.0
0.52,150.0,0.0
0.5540540540540541,148.0,2.0
0.5761589403973509,151.0,4.0
0.5816993464052287,153.0,6.0
0.5586206896551724,145.0,8.0
0.5973154362416107,149.0,10.0
0.5771812080536913,149.0,12.0
0.6178343949044586,157.0,14.0
0.5957446808510638,141.0,16.0
0.5751633986928104,153.0,18.0
0.5921052631578948,152.0,20.0
0.5448275862068965,145.0,0.0
0.5733333333333334,150.0,2.0
0.5599999999999999,150.0,4.0
0.5724137931034483,145.0,6.0
0.5675675675675675,148.0,8.0
0.5723684210526316,152.0,10.0
0.6,150.0,12.0
0.5878378378378378,148.0,14.0
0.6,150.0,16.0
0.5987261146496815,157.0,18.0
0.6040268456375839,149.0,20.0
0.5466666666666666,150.0,0.0
0.5657894736842105,152.0,2.0
0.5733333333333334,150.0,4.0
0.5866666666666667,150.0,6.0
0.551948051948052,154.0,8.0
0.5771812080536913,149.0,10.0
0.5816993464052287,153.0,12.0
0.5945945945945945,148.0,14.0
0.5821917808219178,146.0,16.0
0.6,150.0,18.0
0.5694444444444444,144.0,20.0
0.5442176870748299,147.0,0.0
0.5625,144.0,2.0
0.5741935483870968,155.0,4.0
0.5921052631578948,152.0,6.0
0.5695364238410596,151.0,8.0
0.5673758865248227,141.0,10.0
0.5757575757575758,132.0,12.0
0.5782312925170068,147.0,14.0
0.5878378378378378,148.0,16.0
0.5889570552147239,163.0,18.0
0.5962732919254659,161.0,20.0
0.5472972972972973,148.0,0.0
0.5555555555555556,144.0,2.0
0.5673758865248227,141.0,4.0
0.5616438356164384,146.0,6.0
0.5743243243243243,148.0,8.0
0.5804195804195804,143.0,10.0
0.5838926174496645,149.0,12.0
0.5324675324675325,154.0,14.0
0.6275862068965516,145.0,16.0
0.5878378378378378,148.0,18.0
0.5931034482758621,145.0,20.0
0.5342465753424658,146.0,0.0
0.5442176870748299,147.0,2.0
0.5902777777777778,144.0,4.0
0.5592105263157895,152.0,6.0
0.5918367346938775,147.0,8.0
0.5684931506849316,146.0,10.0
0.6013513513513513,148.0,12.0
0.6,150.0,14.0
0.5921052631578948,152.0,16.0
0.5477707006369427,157.0,18.0
0.6013513513513513,148.0,20.0
0.5510204081632654,147.0,0.0
0.58,150.0,2.0
0.5562913907284768,151.0,4.0
0.5705128205128205,156.0,6.0
0.5724137931034483,145.0,8.0
0.5684931506849316,146.0,10.0
0.5986842105263157,152.0,12.0
0.5586206896551724,145.0,14.0
0.6028368794326241,141.0,16.0
0.6026490066225165,151.0,18.0
0.5925925925925926,162.0,20.0
0.5483870967741935,155.0,0.0
0.5436241610738255,149.0,2.0
0.5592105263157895,152.0,4.0
0.5655172413793104,145.0,6.0
0.5684931506849316,146.0,8.0
0.6012658227848101,158.0,10.0
0.5855263157894737,152.0,12.0
0.5974842767295597,159.0,14.0
0.5827814569536424,151.0,16.0
0.5578231292517006,147.0,18.0
0.5986842105263157,152.0,20.0
0.5310344827586208,145.0,0.0
0.5637583892617449,149.0,2.0
0.5410958904109588,146.0,4.0
0.6040268456375839,149.0,6.0
0.5733333333333334,150.0,8.0
0.5625,144.0,10.0
0.5882352941176471,153.0,12.0
0.5862068965517241,145.0,14.0
0.6148648648648648,148.0,16.0
0.5866666666666667,150.0,18.0
0.5915492957746479,142.0,20.0
0.547945205479452,146.0,0.0
0.527027027027027,148.0,2.0
0.5637583892617449,149.0,4.0
0.5608108108108107,148.0,6.0
0.5384615384615385,143.0,8.0
0.5490196078431373,153.0,10.0
0.5921052631578948,152.0,12.0
0.5855263157894737,152.0,14.0
0.5935483870967742,155.0,16.0
0.6118421052631579,152.0,18.0
0.5797101449275363,138.0,20.0
0.5135135135135135,148.0,0.0
0.5771812080536913,149.0,2.0
0.5472972972972973,148.0,4.0
0.5821917808219178,146.0,6.0
0.5343511450381679,131.0,8.0
0.5874125874125874,143.0,10.0
0.5933333333333334,150.0,12.0
0.6013071895424836,153.0,14.0
0.5733333333333334,150.0,16.0
0.5855263157894737,152.0,18.0
0.6273291925465838,161.0,20.0
0.5384615384615385,143.0,0.0
0.5510204081632654,147.0,2.0
0.5666666666666667,150.0,4.0
0.5733333333333334,150.0,6.0
0.5806451612903226,155.0,8.0
0.5862068965517241,145.0,10.0
0.58,150.0,12.0
0.551948051948052,154.0,14.0
0.5771812080536913,149.0,16.0
0.5972222222222222,144.0,18.0
0.5664335664335665,143.0,20.0
0.5374149659863946,147.0,0.0
0.5570469798657718,149.0,2.0
0.576388888888889,144.0,4.0
0.5625,144.0,6.0
0.5838926174496645,149.0,8.0
0.5616438356164384,146.0,10.0
0.5594405594405594,143.0,12.0
0.5786163522012578,159.0,14.0
0.5827814569536424,151.0,16.0
0.5806451612903226,155.0,18.0
0.5714285714285714,140.0,20.0
0.5136986301369862,146.0,0.0
0.5492957746478873,142.0,2.0
0.5973154362416107,149.0,4.0
0.5743243243243243,148.0,6.0
