gamma,l,rho
0.0,9.0,0.0
0.0,9.0,0.1
2.0,10.0,0.2
4.0,12.0,0.3
6.0,11.0,0.4
4.0,13.0,0.5
10.0,7.0,0.6
14.0,19.0,0.7
10.0,15.0,0.8
6.0,10.0,0.9
2.0,10.0,1.0
4.0,11.0,0.0
2.0,11.0,0.1
0.0,9.0,0.2
0.0,9.0,0.3
4.0,11.0,0.4
8.0,14.0,0.5
6.0,13.0,0.6
8.0,14.0,0.7
2.0,11.0,0.8
10.0,6.0,0.9
10.0,7.0,1.0
2.0,10.0,0.0
4.0,11.0,0.1
6.0,14.0,0.2
10.0,15.0,0.3
4.0,12.0,0.4
2.0,10.0,0.5
6.0,13.0,0.6
10.0,15.0,0.7
6.0,12.0,0.8
4.0,11.0,0.9
20.0,14.0,1.0
2.0,10.0,0.0
4.0,12.0,0.1
6.0,12.0,0.2
4.0,11.0,0.3
12.0,17.0,0.4
4.0,12.0,0.5
14.0,15.0,0.6
4.0,13.0,0.7
6.0,13.0,0.8
14.0,11.0,0.9
0.0,8.0,1.0
2.0,11.0,0.0
4.0,11.0,0.1
2.0,11.0,0.2
10.0,15.0,0.3
6.0,14.0,0.4
10.0,14.0,0.5
4.0,11.0,0.6
10.0,15.0,0.7
8.0,12.0,0.8
4.0,10.0,0.9
12.0,14.0,1.0
8.0,15.0,0.0
4.0,11.0,0.1
6.0,12.0,0.2
2.0,10.0,0.3
8.0,15.0,0.4
2.0,11.0,0.5
12.0,7.0,0.6
12.0,9.0,0.7
16.0,20.0,0.8
8.0,8.0,0.9
22.0,12.0,1.0
0.0,10.0,0.0
0.0,10.0,0.1
4.0,11.0,0.2
6.0,11.0,0.3
0.0,9.0,0.4
16.0,8.0,0.5
12.0,18.0,0.6
6.0,13.0,0.7
12.0,17.0,0.8
12.0,9.0,0.9
14.0,18.0,1.0
2.0,11.0,0.0
0.0,11.0,0.1
0.0,10.0,0.2
10.0,9.0,0.3
4.0,13.0,0.4
10.0,8.0,0.5
10.0,15.0,0.6
8.0,13.0,0.7
6.0,10.0,0.8
8.0,6.0,0.9
16.0,13.0,1.0
0.0,8.0,0.0
0.0,9.0,0.1
4.0,12.0,0.2
6.0,12.0,0.3
8.0,15.0,0.4
10.0,13.0,0.5
6.0,13.0,0.6
2.0,10.0,0.7
8.0,14.0,0.8
8.0,14.0,0.9
12.0,16.0,1.0
0.0,10.0,0.0
8.0,15.0,0.1
2.0,10.0,0.2
4.0,12.0,0.3
12.0,16.0,0.4
14.0,18.0,0.5
0.0,9.0,0.6
6.0,13.0,0.7
2.0,10.0,0.8
10.0,7.0,0.9
12.0,15.0,1.0
2.0,11.0,0.0
2.0,11.0,0.1
14.0,18.0,0.2
6.0,13.0,0.3
8.0,13.0,0.4
4.0,11.0,0.5
14.0,17.0,0.6
10.0,16.0,0.7
12.0,12.0,0.8
2.0,10.0,0.9
12.0,17.0,1.0
4.0,13.0,0.0
2.0,10.0,0.1
4.0,9.0,0.2
4.0,11.0,0.3
6.0,12.0,0.4
8.0,14.0,0.5
18.0,9.0,0.6
6.0,10.0,0.7
22.0,14.0,0.8
8.0,7.0,0.9
14.0,9.0,1.0
0.0,9.0,0.0
4.0,12.0,0.1
10.0,17.0,0.2
6.0,14.0,0.3
4.0,11.0,0.4
8.0,16.0,0.5
10.0,15.0,0.6
10.0,16.0,0.7
10.0,15.0,0.8
6.0,12.0,0.9
16.0,10.0,1.0
4.0,12.0,0.0
4.0,12.0,0.1
6.0,14.0,0.2
0.0,8.0,0.3
8.0,15.0,0.4
6.0,11.0,0.5
4.0,11.0,0.6
2.0,9.0,0.7
18.0,11.0,0.8
16.0,9.0,0.9
4.0,13.0,1.0
2.0,10.0,0.0
12.0,16.0,0.1
6.0,12.0,0.2
2.0,10.0,0.3
6.0,12.0,0.4
10.0,16.0,0.5
6.0,11.0,0.6
