gamma,l,rho
6.0,13.0,0.1
12.0,16.0,0.5
10.0,15.0,1.0
32.0,17.0,2.0
26.0,18.0,4.0
4.0,12.0,0.0
4.0,11.0,0.1
12.0,15.0,0.5
12.0,15.0,1.0
16.0,10.0,2.0
18.0,13.0,4.0
6.0,16.0,0.0
4.0,10.0,0.1
16.0,17.0,0.5
18.0,12.0,1.0
16.0,17.0,2.0
16.0,12.0,4.0
8.0,16.0,0.0
6.0,12.0,0.1
14.0,19.0,0.5
16.0,11.0,1.0
20.0,13.0,2.0
16.0,12.0,4.0
10.0,15.0,0.0
8.0,14.0,0.1
10.0,16.0,0.5
16.0,13.0,1.0
22.0,22.0,2.0
14.0,15.0,4.0
14.0,18.0,0.0
12.0,16.0,0.1
10.0,14.0,0.5
6.0,12.0,1.0
