gamma,l,rho
7.0,18.0,10.0
0.0,12.0,0.0
1.0,12.0,0.1
0.0,12.0,0.5
0.0,12.0,1.0
2.0,14.0,2.0
2.0,14.0,3.0
6.0,16.0,10.0
0.0,12.0,0.0
1.0,13.0,0.1
1.0,12.0,0.5
5.0,17.0,1.0
5.0,16.0,2.0
2.0,14.0,3.0
2.0,11.0,10.0
0.0,12.0,0.0
0.0,12.0,0.1
1.0,12.0,0.5
1.0,13.0,1.0
3.0,15.0,2.0
4.0,14.0,3.0
6.0,19.0,10.0
0.0,12.0,0.0
0.0,12.0,0.1
1.0,14.0,0.5
1.0,12.0,1.0
3.0,15.0,2.0
8.0,18.0,3.0
6.0,16.0,10.0
