gamma,l,kappa
0.2,70.0,0.0
0.39285714285714285,112.0,1.0
0.3939393939393939,99.0,2.0
0.46715328467153283,137.0,5.0
0.5167785234899329,149.0,10.0
0.25925925925925924,27.0,20.0
0.14705882352941177,68.0,0.0
0.35106382978723405,94.0,1.0
0.4,100.0,2.0
0.47857142857142854,140.0,5.0
0.5167785234899329,149.0,10.0
0.3548387096774194,31.0,20.0
0.15942028985507245,69.0,0.0
0.38181818181818183,110.0,1.0
0.40740740740740744,108.0,2.0
0.515527950310559,161.0,5.0
0.5617977528089888,178.0,10.0
0.5185185185185185,27.0,20.0
0.1,60.0,0.0
0.415929203539823,113.0,1.0
0.4297520661157025,121.0,2.0
0.47727272727272724,132.0,5.0
0.5573770491803278,183.0,10.0
0.2727272727272727,22.0,20.0
0.1,60.0,0.0
0.2926829268292683,82.0,1.0
0.42857142857142855,119.0,2.0
0.4545454545454546,121.0,5.0
0.5568181818181819,176.0,10.0
0.30434782608695654,23.0,20.0
0.16901408450704225,71.0,0.0
0.34782608695652173,92.0,1.0
0.4308943089430894,123.0,2.0
0.5,152.0,5.0
0.5260115606936416,173.0,10.0
0.5161290322580645,31.0,20.0
0.22972972972972974,74.0,0.0
0.4297520661157025,121.0,1.0
0.4018691588785047,107.0,2.0
0.5070422535211268,142.0,5.0
0.5568862275449102,167.0,10.0
0.5225806451612903,155.0,20.0
0.27380952380952384,84.0,0.0
0.41441441441441446,111.0,1.0
0.4603174603174603,126.0,2.0
0.5,136.0,5.0
0.536144578313253,166.0,10.0
0.5384615384615385,26.0,20.0
0.16176470588235295,68.0,0.0
0.39,100.0,1.0
0.37735849056603776,106.0,2.0
0.4930555555555555,144.0,5.0
0.4788732394366197,142.0,10.0
0.25,28.0,20.0
0.16901408450704225,71.0,0.0
0.383177570093458,107.0,1.0
0.39814814814814814,108.0,2.0
0.472,125.0,5.0
0.5512820512820513,156.0,10.0
0.5789473684210527,19.0,20.0
0.21621621621621623,74.0,0.0
0.3465346534653465,101.0,1.0
0.4196428571428571,112.0,2.0
0.4427480916030534,131.0,5.0
0.5568181818181819,176.0,10.0
0.34615384615384615,26.0,20.0
0.21333333333333332,75.0,0.0
0.38613861386138615,101.0,1.0
0.4782608695652174,138.0,2.0
0.4516129032258065,124.0,5.0
0.5341614906832298,161.0,10.0
0.5,126.0,20.0
0.25641025641025644,78.0,0.0
0.34375,96.0,1.0
0.48091603053435117,131.0,2.0
0.5033557046979865,149.0,5.0
0.4788732394366197,142.0,10.0
0.5337423312883436,163.0,20.0
0.2236842105263158,76.0,0.0
0.36082474226804123,97.0,1.0
0.44537815126050423,119.0,2.0
0.48936170212765956,141.0,5.0
0.5491329479768786,173.0,10.0
0.34285714285714286,35.0,20.0
0.26582278481012656,79.0,0.0
0.3516483516483516,91.0,1.0
0.41121495327102797,107.0,2.0
0.4895104895104895,143.0,5.0
0.5497076023391813,171.0,10.0
0.3055555555555555,36.0,20.0
0.12903225806451613,62.0,0.0
0.4196428571428571,112.0,1.0
0.44800000000000006,125.0,2.0
0.5421686746987951,166.0,5.0
0.5526315789473684,190.0,10.0
0.5833333333333333,24.0,20.0
0.20270270270270271,74.0,0.0
0.3684210526315789,95.0,1.0
0.46399999999999997,125.0,2.0
0.51875,160.0,5.0
0.5423728813559322,177.0,10.0
0.34375,32.0,20.0
0.27906976744186046,86.0,0.0
0.3888888888888889,108.0,1.0
0.4390243902439025,123.0,2.0
0.506578947368421,152.0,5.0
0.5205479452054795,146.0,10.0
0.5555555555555556,18.0,20.0
0.25641025641025644,78.0,0.0
0.383177570093458,107.0,1.0
0.4017094017094017,117.0,2.0
0.496551724137931,145.0,5.0
0.5035460992907802,141.0,10.0
0.4782608695652174,23.0,20.0
0.15151515151515152,66.0,0.0
0.33333333333333337,90.0,1.0
0.42857142857142855,112.0,2.0
0.48091603053435117,131.0,5.0
0.5125,160.0,10.0
0.5039370078740157,127.0,20.0
0.22972972972972974,74.0,0.0
0.375,104.0,1.0
0.4523809523809524,126.0,2.0
0.4418604651162791,129.0,5.0
0.48936170212765956,141.0,10.0
0.34782608695652173,23.0,20.0
0.19444444444444445,72.0,0.0
0.3853211009174312,109.0,1.0
0.42622950819672134,122.0,2.0
0.42622950819672134,122.0,5.0
0.5384615384615385,169.0,10.0
0.5246913580246914,162.0,20.0
0.16901408450704225,71.0,0.0
0.33333333333333337,93.0,1.0
0.4196428571428571,112.0,2.0
0.5290322580645161,155.0,5.0
0.5794392523364487,214.0,10.0
0.47619047619047616,21.0,20.0
0.20270270270270271,74.0,0.0
0.3473684210526316,95.0,1.0
0.4545454545454546,132.0,2.0
0.4647887323943662,142.0,5.0
0.53125,160.0,10.0
0.25,36.0,20.0
0.17391304347826086,69.0,0.0
0.37755102040816324,98.0,1.0
0.453125,128.0,2.0
0.5,138.0,5.0
0.5354838709677419,155.0,10.0
0.6363636363636364,22.0,20.0
0.18840579710144928,69.0,0.0
0.3904761904761905,105.0,1.0
0.4462809917355372,121.0,2.0
0.5,134.0,5.0
0.5604395604395604,182.0,10.0
0.4642857142857143,28.0,20.0
0.17142857142857143,70.0,0.0
0.3963963963963964,111.0,1.0
0.4817518248175182,137.0,2.0
0.5321637426900585,171.0,5.0
0.5068493150684932,146.0,10.0
0.15384615384615385,39.0,20.0
0.18571428571428572,70.0,0.0
0.35353535353535354,99.0,1.0
0.4333333333333333,120.0,2.0
0.4779411764705882,136.0,5.0
0.5070422535211268,142.0,10.0
0.375,40.0,20.0
0.140625,64.0,0.0
0.33999999999999997,100.0,1.0
0.4651162790697675,129.0,2.0
0.5128205128205129,156.0,5.0
0.5397727272727273,176.0,10.0
0.36363636363636365,44.0,20.0
0.25301204819277107,83.0,0.0
0.3925233644859813,107.0,1.0
0.43965517241379304,116.0,2.0
0.5256410256410257,156.0,5.0
0.543010752688172,186.0,10.0
0.42857142857142855,28.0,20.0
0.2278481012658228,79.0,0.0
0.35,100.0,1.0
0.3904761904761905,105.0,2.0
0.40740740740740744,108.0,5.0
0.5511363636363636,176.0,10.0
0.4137931034482759,29.0,20.0
0.22666666666666666,75.0,0.0
0.48920863309352514,139.0,1.0
0.42857142857142855,119.0,2.0
0.48091603053435117,131.0,5.0
0.4814814814814815,135.0,10.0
0.33333333333333337,42.0,20.0
0.2,70.0,0.0
0.3711340206185567,97.0,1.0
0.39285714285714285,112.0,2.0
0.4188034188034188,117.0,5.0
0.5403726708074534,161.0,10.0
0.33333333333333337,39.0,20.0
0.20270270270270271,74.0,0.0
0.4333333333333333,120.0,1.0
0.44247787610619466,113.0,2.0
0.5128205128205129,156.0,5.0
0.5375,160.0,10.0
0.6818181818181819,22.0,20.0
0.25316455696202533,79.0,0.0
0.36633663366336633,101.0,1.0
0.45081967213114754,122.0,2.0
0.5260115606936416,173.0,5.0
0.5380434782608695,184.0,10.0
0.4814814814814815,27.0,20.0
0.13636363636363635,66.0,0.0
0.3627450980392157,102.0,1.0
0.44881889763779526,127.0,2.0
0.48275862068965514,145.0,5.0
0.51875,160.0,10.0
0.39285714285714285,28.0,20.0
0.12903225806451613,62.0,0.0
0.40869565217391307,115.0,1.0
0.4491525423728813,118.0,2.0
0.5064102564102564,156.0,5.0
0.5066666666666666,150.0,10.0
0.3877551020408163,49.0,20.0
0.11290322580645162,62.0,0.0
0.3368421052631579,95.0,1.0
0.4779411764705882,136.0,2.0
0.4966442953020135,149.0,5.0
0.537037037037037,162.0,10.0
