gamma,l,kappa
0.3,70.0,0.0
0.4,70.0,2.0
0.4,70.0,4.0
0.4,70.0,6.0
0.7714285714285715,70.0,8.0
0.8,70.0,10.0
0.7714285714285715,70.0,12.0
0.8142857142857143,70.0,14.0
0.7142857142857143,70.0,16.0
0.7142857142857143,70.0,18.0
0.7857142857142857,70.0,20.0
0.3625,80.0,0.0
0.45,80.0,2.0
0.4625,80.0,4.0
0.4,80.0,6.0
0.575,80.0,8.0
0.5,80.0,10.0
0.8,80.0,12.0
0.825,80.0,14.0
0.7375,80.0,16.0
0.5875,80.0,18.0
0.825,80.0,20.0
0.4222222222222222,90.0,0.0
0.4444444444444445,90.0,2.0
0.4666666666666667,90.0,4.0
0.45555555555555555,90.0,6.0
0.5,90.0,8.0
0.47777777777777775,90.0,10.0
0.8666666666666666,90.0,12.0
0.711111111111111,90.0,14.0
0.7333333333333333,90.0,16.0
0.8,90.0,18.0
0.788888888888889,90.0,20.0
0.45,100.0,0.0
0.45999999999999996,100.0,2.0
0.47000000000000003,100.0,4.0
0.45,100.0,6.0
0.52,100.0,8.0
0.75,100.0,10.0
0.8,100.0,12.0
0.6900000000000001,100.0,14.0
0.6799999999999999,100.0,16.0
0.5,100.0,18.0
0.7,100.0,20.0
0.4636363636363637,110.0,0.0
0.4909090909090909,110.0,2.0
0.5,110.0,4.0
0.5181818181818182,110.0,6.0
0.5363636363636364,110.0,8.0
0.5,110.0,10.0
0.5454545454545454,110.0,12.0
0.7818181818181819,110.0,14.0
0.5363636363636364,110.0,16.0
0.7181818181818181,110.0,18.0
0.8454545454545455,110.0,20.0
0.475,120.0,0.0
0.5083333333333333,120.0,2.0
0.525,120.0,4.0
0.5583333333333333,120.0,6.0
0.525,120.0,8.0
0.55,120.0,10.0
0.5333333333333333,120.0,12.0
0.8166666666666667,120.0,14.0
0.75,120.0,16.0
0.7333333333333333,120.0,18.0
0.7083333333333333,120.0,20.0
0.5076923076923077,130.0,0.0
0.5076923076923077,130.0,2.0
0.5384615384615385,130.0,4.0
0.5230769230769231,130.0,6.0
0.5461538461538462,130.0,8.0
0.7076923076923076,130.0,10.0
0.5769230769230769,130.0,12.0
0.5769230769230769,130.0,14.0
0.823076923076923,130.0,16.0
0.7692307692307693,130.0,18.0
0.6923076923076923,130.0,20.0
0.5357142857142857,140.0,0.0
0.5571428571428572,140.0,2.0
0.55,140.0,4.0
0.5857142857142856,140.0,6.0
0.5428571428571429,140.0,8.0
0.5714285714285714,140.0,10.0
0.5571428571428572,140.0,12.0
0.5357142857142857,140.0,14.0
0.5928571428571429,140.0,16.0
0.8071428571428572,140.0,18.0
0.6857142857142857,140.0,20.0
0.54,150.0,0.0
