p_l,l,kappa
0.00037346,53.0,0.0
0.00326546,54.0,0.0
0.00786294,55.0,0.0
0.01573662,56.0,0.0
0.0157551,57.0,0.0
0.02174196,58.0,0.0
0.02907158,59.0,0.0
0.03084724,60.0,0.0
0.0392053,61.0,0.0
0.0493359,62.0,0.0
0.04416264,63.0,0.0
0.0344546,64.0,0.0
0.0428894,65.0,0.0
0.05324386,66.0,0.0
0.06635118,67.0,0.0
0.05863062,68.0,0.0
0.05289492,69.0,0.0
0.04512162,70.0,0.0
0.0394658,71.0,0.0
0.03269504,72.0,0.0
0.0281155,73.0,0.0
0.02564726,74.0,0.0
0.02480158,75.0,0.0
0.02659498,76.0,0.0
0.02127978,77.0,0.0
0.01435208,78.0,0.0
0.00877922,79.0,0.0
0.01306026,80.0,0.0
0.01304016,81.0,0.0
0.0110502,82.0,0.0
0.00873356,83.0,0.0
0.00562618,84.0,0.0
0.00672142,85.0,0.0
0.00645034,86.0,0.0
0.00514206,87.0,0.0
0.00328648,88.0,0.0
0.00338334,89.0,0.0
0.00241534,90.0,0.0
0.00456278,91.0,0.0
0.00494766,92.0,0.0
0.00370984,93.0,0.0
0.0039834,94.0,0.0
0.00168238,95.0,0.0
0.00186646,96.0,0.0
0.00174704,97.0,0.0
0.00178038,98.0,0.0
0.00175706,99.0,0.0
0.00169304,100.0,0.0
0.00203738,101.0,0.0
0.00383896,102.0,0.0
0.00902278,103.0,0.0
0.00579754,104.0,0.0
0.00470646,105.0,0.0
0.00089556,106.0,0.0
0.0014423,107.0,0.0
0.00101944,108.0,0.0
0.00147602,109.0,0.0
0.0007766,110.0,0.0
0.0001424,111.0,0.0
0.00010778,112.0,0.0
0.00016606,113.0,0.0
0.00027706,114.0,0.0
0.0001126,115.0,0.0
0.000307,116.0,0.0
0.00115782,117.0,0.0
0.0019249,118.0,0.0
0.00054644,119.0,0.0
0.0006903,120.0,0.0
0.00032108,121.0,0.0
0.00145412,122.0,0.0
0.00126206,123.0,0.0
0.00202444,124.0,0.0
0.00127326,125.0,0.0
0.00311774,126.0,0.0
0.00572362,127.0,0.0
0.00176436,128.0,0.0
0.00095408,129.0,0.0
0.00226358,130.0,0.0
0.00357314,131.0,0.0
0.0005081,132.0,0.0
0.0004911,76.0,1.0
0.00398551,77.0,1.0
0.0074781,78.0,1.0
0.00971304,79.0,1.0
0.00932277,80.0,1.0
0.01186231,81.0,1.0
0.01157676,82.0,1.0
0.01276944,83.0,1.0
0.01095549,84.0,1.0
0.013394,85.0,1.0
0.02083509,86.0,1.0
0.02590853,87.0,1.0
0.02654316,88.0,1.0
0.02603884,89.0,1.0
0.0263941,90.0,1.0
0.02815678,91.0,1.0
0.03502109,92.0,1.0
0.03343752,93.0,1.0
0.04096387,94.0,1.0
0.04650633,95.0,1.0
0.03944687,96.0,1.0
0.03758283,97.0,1.0
0.03263341,98.0,1.0
0.03193142,99.0,1.0
0.0287078,100.0,1.0
0.02201598,101.0,1.0
0.01899316,102.0,1.0
0.02646582,103.0,1.0
0.0246445,104.0,1.0
0.01626682,105.0,1.0
0.01890553,106.0,1.0
0.0226874,107.0,1.0
0.02514486,108.0,1.0
0.0326244,109.0,1.0
0.02824954,110.0,1.0
0.02360178,111.0,1.0
0.02322657,112.0,1.0
0.02171086,113.0,1.0
0.01886797,114.0,1.0
0.01698202,115.0,1.0
0.01173822,116.0,1.0
0.01553972,117.0,1.0
0.01063169,118.0,1.0
0.00692211,119.0,1.0
0.00630223,120.0,1.0
0.00851519,121.0,1.0
0.00887933,122.0,1.0
0.00479017,123.0,1.0
0.00209034,124.0,1.0
0.00430075,125.0,1.0
0.0027616,126.0,1.0
0.00132041,127.0,1.0
