gamma,l,rho,f0
0.5936,5.0,0.0,0.01
1.5608,5.0,0.1,0.01
1.0208,5.0,0.5,0.01
1.9899999999999998,5.0,1.0,0.01
0.6733333333333333,6.0,0.0,0.01
0.8226666666666667,6.0,0.1,0.01
1.314,6.0,0.5,0.01
1.7443333333333333,6.0,1.0,0.01
0.3385714285714286,7.0,0.0,0.01
1.68,7.0,0.1,0.01
1.8317142857142856,7.0,0.5,0.01
1.7951428571428572,7.0,1.0,0.01
0.57,8.0,0.0,0.01
1.3375,8.0,0.1,0.01
1.745,8.0,0.5,0.01
1.46625,8.0,1.0,0.01
0.082,9.0,0.0,0.01
1.5677777777777777,9.0,0.1,0.01
1.4902222222222223,9.0,0.5,0.01
1.6888888888888889,9.0,1.0,0.01
0.25539999999999996,10.0,0.0,0.01
0.9672000000000001,10.0,0.1,0.01
1.6827999999999999,10.0,0.5,0.01
1.3876,10.0,1.0,0.01
0.14472727272727273,11.0,0.0,0.01
1.4143636363636363,11.0,0.1,0.01
1.38,11.0,0.5,0.01
1.4452727272727273,11.0,1.0,0.01
1.5205,12.0,0.0,0.01
1.1908333333333332,12.0,0.1,0.01
1.2758333333333334,12.0,0.5,0.01
1.8246666666666667,12.0,1.0,0.01
0.32769230769230767,13.0,0.0,0.01
1.390153846153846,13.0,0.1,0.01
1.3955384615384614,13.0,0.5,0.01
1.0693846153846154,13.0,1.0,0.01
1.6981428571428572,14.0,0.0,0.01
1.7414285714285713,14.0,0.1,0.01
1.5791428571428572,14.0,0.5,0.01
1.0784285714285715,14.0,1.0,0.01
1.4812,15.0,0.0,0.01
1.8394666666666666,15.0,0.1,0.01
1.7226666666666666,15.0,0.5,0.01
1.5790666666666666,15.0,1.0,0.01
1.721875,16.0,0.0,0.01
1.616,16.0,0.1,0.01
1.64225,16.0,0.5,0.01
1.469375,16.0,1.0,0.01
1.5198823529411765,17.0,0.0,0.01
1.261529411764706,17.0,0.1,0.01
1.4658823529411766,17.0,0.5,0.01
1.1032941176470588,17.0,1.0,0.01
1.7597777777777777,18.0,0.0,0.01
1.4571111111111112,18.0,0.1,0.01
1.6724444444444444,18.0,0.5,0.01
1.3416666666666666,18.0,1.0,0.01
1.591578947368421,19.0,0.0,0.01
1.3862105263157896,19.0,0.1,0.01
1.4369473684210525,19.0,0.5,0.01
1.6837894736842105,19.0,1.0,0.01
1.5191000000000001,20.0,0.0,0.01
1.5247,20.0,0.1,0.01
1.3234,20.0,0.5,0.01
1.4798,20.0,1.0,0.01
1.588190476190476,21.0,0.0,0.01
1.4982857142857142,21.0,0.1,0.01
1.7723809523809524,21.0,0.5,0.01
1.3175238095238095,21.0,1.0,0.01
1.6380000000000001,22.0,0.0,0.01
1.4771818181818182,22.0,0.1,0.01
1.5415454545454546,22.0,0.5,0.01
1.6509090909090909,22.0,1.0,0.01
1.4048695652173913,23.0,0.0,0.01
1.4636521739130435,23.0,0.1,0.01
1.4171304347826088,23.0,0.5,0.01
1.547304347826087,23.0,1.0,0.01
1.6128333333333333,24.0,0.0,0.01
1.563,24.0,0.1,0.01
1.5302499999999999,24.0,0.5,0.01
1.4786666666666666,24.0,1.0,0.01
1.6939199999999999,25.0,0.0,0.01
1.3584,25.0,0.1,0.01
1.50952,25.0,0.5,0.01
1.7875999999999999,25.0,1.0,0.01
1.387076923076923,26.0,0.0,0.01
1.6831538461538462,26.0,0.1,0.01
1.1841538461538461,26.0,0.5,0.01
1.4609999999999999,26.0,1.0,0.01
1.659111111111111,27.0,0.0,0.01
1.6295555555555554,27.0,0.1,0.01
1.4263703703703703,27.0,0.5,0.01
1.4368888888888889,27.0,1.0,0.01
1.4212142857142855,28.0,0.0,0.01
1.7170714285714286,28.0,0.1,0.01
1.5354285714285714,28.0,0.5,0.01
1.5554285714285714,28.0,1.0,0.01
1.4799310344827585,29.0,0.0,0.01
1.6745517241379309,29.0,0.1,0.01
1.541655172413793,29.0,0.5,0.01
1.3455862068965516,29.0,1.0,0.01
1.5984,30.0,0.0,0.01
1.1453333333333333,30.0,0.1,0.01
1.5306666666666666,30.0,0.5,0.01
1.2991333333333333,30.0,1.0,0.01
0.4144,5.0,0.0,0.025
1.238,5.0,0.1,0.025
1.4056,5.0,0.5,0.025
1.7812000000000001,5.0,1.0,0.025
0.40700000000000003,6.0,0.0,0.025
1.7003333333333333,6.0,0.1,0.025
1.0256666666666667,6.0,0.5,0.025
1.1673333333333333,6.0,1.0,0.025
0.22714285714285715,7.0,0.0,0.025
1.4788571428571429,7.0,0.1,0.025
1.1651428571428573,7.0,0.5,0.025
1.3611428571428572,7.0,1.0,0.025
0.3205,8.0,0.0,0.025
0.85375,8.0,0.1,0.025
1.5585,8.0,0.5,0.025
1.67475,8.0,1.0,0.025
0.08555555555555555,9.0,0.0,0.025
1.6784444444444444,9.0,0.1,0.025
1.145111111111111,9.0,0.5,0.025
1.7586666666666666,9.0,1.0,0.025
0.2136,10.0,0.0,0.025
1.5474,10.0,0.1,0.025
1.989,10.0,0.5,0.025
1.9884,10.0,1.0,0.025
0.18763636363636363,11.0,0.0,0.025
1.4672727272727273,11.0,0.1,0.025
